ORF,myStddev,myMean,myCV
YEL062W,0.058603835,3.399249277,0.017240229
YOR275C,0.029652164,3.241366079,0.009148045
YKL125W,0.024749829,3.391620991,0.007297345
YPL195W,0.016222117,3.509598408,0.004622215
YDR145W,0.019833704,3.421577842,0.005796654
YGR140W,0.022669357,3.275030301,0.006921877
YJR057W,0.016458399,3.446263228,0.004775723
YIL151C,0.02258424,3.337172185,0.006767478
YPL216W,0.016994218,3.033648975,0.005601907
YER172C,0.044850296,3.53647608,0.0126822
YGR204C-A,0.063676833,2.559714648,0.024876536
YKL110C,0.041392253,3.379101488,0.012249485
YMR088C,0.015522128,3.548174919,0.00437468
YDL028C,0.008931889,3.301214006,0.002705638
YOR166C,0.015851973,3.193954629,0.004963118
YJL205C,0.033661015,3.497502668,0.0096243
YLR052W,0.0153641,3.34187247,0.004597452
YNR027W,0.022183509,3.367523583,0.006587484
YNL011C,0.030521515,3.426107701,0.00890851
YLL049W,0.014878635,3.439563983,0.004325733
YJR121W,0.007185376,3.770888064,0.001905486
YDR539W,0.018712711,3.422663368,0.005467295
YJR088C,0.008347262,3.597282567,0.002320435
YNL313C,0.028848174,3.393345353,0.008501397
YKL180W,0.012015837,3.815515088,0.003149204
YDL106C,0.011943173,3.294662782,0.003625006
YPL165C,0.059476365,2.270339176,0.026197127
YKL116C,0.015602441,3.310825868,0.004712552
YMR301C,0.020669594,3.304750203,0.00625451
YNR020C,0.023932929,3.309788777,0.007230954
YER140W,0.077307025,3.342385134,0.023129299
YNR003C,0.027062117,3.444885251,0.007855738
YHR204W,0.028724818,3.341931086,0.008595275
YIR034C,0.041530306,3.562446224,0.011657806
YPL259C,0.010780302,3.44171161,0.00313225
YEL036C,0.057736053,3.492951731,0.016529302
YLR185W,0.00832671,3.803867885,0.002189011
YBR240C,0.032571674,2.989330326,0.010895977
YPR178W,0.010449822,3.275888421,0.00318992
YMR257C,0.015747944,3.295560339,0.004778533
YOR016C,0.018953843,3.499444578,0.005416243
YCR059C,0.021652627,3.410168039,0.006349431
YML093W,0.038407575,3.446744334,0.011143146
YPL081W,0.016696431,3.585036631,0.004657255
YNL225C,0.021644683,3.361886073,0.006438256
YHR087W,0.075237932,3.648942024,0.020619109
YBR294W,0.078373957,3.22628051,0.024292357
YDR055W,0.028748213,3.645942011,0.007884989
YER041W,0.069994217,3.255659904,0.021499241
YHR038W,0.032629108,3.284030136,0.009935691
YOR266W,0.018609379,2.908973317,0.006397233
YOL063C,0.007997418,3.342430498,0.002392696
YNR030W,0.014615021,3.53076862,0.004139331
YLL028W,0.039694394,3.626200205,0.010946553
YFR030W,0.044655808,3.53804381,0.01262161
YHR005C-A,0.010359531,3.726174103,0.002780206
YFR004W,0.010892471,3.558742978,0.003060764
YDR459C,0.009636164,3.344241583,0.00288142
YCR076C,0.016134853,3.448109766,0.004679333
YPR029C,0.01163059,3.552050529,0.003274331
YMR087W,0.033317871,3.407427912,0.009778012
YKL059C,0.019655396,3.226299028,0.006092242
YKL081W,0.014041373,3.754970832,0.003739409
YLL058W,0.026128525,3.287447127,0.007947968
YPR055W,0.016404443,3.321874391,0.004938309
YFL059W,0.064615611,3.398033293,0.019015591
YMR149W,0.015787892,3.676056879,0.00429479
YNR017W,0.016702208,3.491089143,0.00478424
YCR007C,0.114407277,3.297892557,0.034691026
YDR146C,0.018241849,3.405678139,0.005356305
YJL088W,0.086074367,3.38921567,0.025396545
YCR098C,0.04190813,2.8070611,0.01492954
YDR318W,0.015731453,3.291155118,0.004779918
YHR043C,0.016425391,3.553193151,0.004622713
YPR048W,0.029984677,3.348402664,0.00895492
YCR011C,0.014834817,3.672250364,0.004039707
YFR035C,0.043773963,2.739760986,0.015977293
YLR181C,0.013937909,3.463268412,0.004024496
YOR321W,0.017824304,3.420657578,0.005210783
YFL028C,0.019229389,3.542208138,0.005428644
YKL188C,0.046124138,3.144692857,0.014667295
YBR108W,0.029848658,3.140075737,0.009505713
YGL089C,0.066374451,2.519151716,0.026347937
YPR069C,0.018791413,3.71867654,0.005053253
YDR415C,0.012363321,3.363541513,0.003675686
YOR355W,0.017127032,3.511222246,0.004877798
YDR243C,0.017352996,3.283317426,0.005285202
YOR302W,0.041306147,3.462885543,0.011928245
YCR073C,0.035385131,3.18064288,0.01112515
YLR105C,0.013957571,3.321819541,0.004201785
YDR262W,0.020395258,3.481688157,0.005857865
YOL109W,0.035988384,3.791522,0.009491804
YLR248W,0.013110622,3.650105515,0.003591847
YDR530C,0.02170499,3.375004164,0.0064311
YBR246W,0.018929329,3.386225601,0.005590097
YKR056W,0.040403282,3.424616036,0.011797901
YER137C,0.095246948,3.280934176,0.029030436
YGR210C,0.017118937,3.446167204,0.004967529
YML007C-A,0.035027141,3.065591912,0.011425898
YGL031C,0.006743363,3.846892475,0.001752938
YJL166W,0.021527306,3.696188773,0.00582419
YNL329C,0.016048808,3.331889662,0.004816728
YER013W,0.052539704,3.526748915,0.014897489
YOR094W,0.013038714,3.489930713,0.003736096
YGL013C,0.008733967,3.474057646,0.002514054
YBR270C,0.025933402,3.131158981,0.008282365
YOL112W,0.027047792,3.297653301,0.008202133
